Team 1,Score 1,Team 2,Score 2,Elo Rating 1,Elo Rating 2,New Elo Rating 1,New Elo Rating 2,Week,Year
LAC,20,WSH,16,1494.7968057235414,1471.1986348053017,1527.1435647649425,1438.8518757639006,1,2021
CAR,19,NYJ,14,1414.3489213939333,1343.591539597696,1442.0781613995755,1315.862299592054,1,2021
HOU,37,JAX,21,1383.0113233700552,1287.8766564689838,1408.440337968734,1262.447641870305,1,2021
KC,33,CLE,29,1675.0766237178582,1578.6563639794826,1700.3865239119868,1553.346463785354,1,2021
MIA,17,NE,16,1563.3572476739516,1473.0881894061847,1589.239189724556,1447.2062473555804,1,2021
NO,38,GB,3,1619.1489045303165,1634.5160745164856,1655.3826948595142,1598.2822841872878,1,2021
DEN,27,NYG,13,1420.3298082688111,1460.8165955416964,1459.0552068511754,1422.0911969593321,1,2021
LAR,34,CHI,14,1549.6049386843574,1484.5876116587453,1577.8861109511367,1456.306439391966,1,2021
LV,33,BAL,27,1489.137402098459,1589.3402280012413,1533.5765775555162,1544.901052544184,1,2021
WSH,30,NYG,29,1438.8518757639006,1422.0911969593321,1471.5936676603003,1389.3494050629324,2,2021
CHI,20,CIN,17,1456.306439391966,1439.66637377519,1489.0601457902399,1406.9126673769163,2,2021
CLE,31,HOU,21,1553.346463785354,1408.440337968734,1574.1769698922817,1387.6098318618062,2,2021
LAR,27,IND,24,1577.8861109511367,1559.1012022209718,1610.4280055972524,1526.5593075748561,2,2021
BUF,35,MIA,0,1619.6374803957779,1589.239189724556,1651.0353669710044,1557.8413031493294,2,2021
NE,25,NYJ,6,1447.2062473555804,1315.862299592054,1469.187757722015,1293.8807892256193,2,2021
SF,17,PHI,11,1476.237639520082,1441.7539616543343,1507.2345378824334,1410.7570632919828,2,2021
LV,26,PIT,17,1533.5765775555162,1632.8645663914328,1577.54804736808,1588.893096578869,2,2021
CAR,26,NO,7,1442.0781613995755,1655.3826948595142,1495.291331427948,1602.1695248311416,2,2021
DEN,23,JAX,13,1459.0552068511754,1262.447641870305,1475.8311020222795,1245.6717466992009,2,2021
ARI,34,MIN,33,1530.6997963681447,1425.2206894405351,1554.9656424473471,1400.9548433613327,2,2021
TB,48,ATL,25,1609.801267349665,1370.8319869433076,1623.6791719354587,1356.954082357514,2,2021
DAL,20,LAC,17,1416.0707737752562,1527.1435647649425,1461.1082677657137,1482.106070774485,2,2021
TEN,33,SEA,30,1536.8066263111004,1643.0368821458528,1581.4086544354848,1598.4348540214685,2,2021
BAL,36,KC,35,1544.901052544184,1700.3865239119868,1593.7442680098886,1651.5433084462823,2,2021
GB,35,DET,17,1598.2822841872878,1365.786884271248,1612.5776410330482,1351.4915274254877,2,2021
CAR,24,HOU,9,1495.291331427948,1387.6098318618062,1519.148527593379,1363.7526356963754,3,2021
BUF,43,WSH,21,1651.0353669710044,1471.5936676603003,1668.9387324663712,1453.6903021649334,3,2021
CLE,26,CHI,6,1574.1769698922817,1489.0601457902399,1600.0861638588851,1463.1509518236364,3,2021
BAL,19,DET,17,1593.7442680098886,1351.4915274254877,1607.2947435292583,1337.941051906118,3,2021
